scorer,,,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350
labeled-data,GX010337-sin-distor-correcto,img3625.png,1223.5302,962.74664,0.10712107,1223.8987,948.13654,0.123170555,1229.43,949.6447,0.08742169,1237.398,951.6195,0.055729084,1243.393,950.1879,0.019619199,1238.0121,944.5739,0.014748252,1222.5233,966.0813,0.01004487,1224.6674,959.66656,0.054479882,844.2659,1080.7953,0.045677263,935.479,71.435844,0.051307354,1234.3613,933.4498,0.051418394,1231.7472,954.1608,0.012784365,862.87524,1076.4802,0.0102629755
labeled-data,GX010337-sin-distor-correcto,img3940.png,1222.6967,965.2744,0.28020626,1224.4402,943.92053,0.02942958,883.084,670.97675,0.0147201475,1236.5264,949.0161,0.053481676,1233.9254,964.2109,0.011419629,1243.6283,949.4415,0.0068046884,1242.9097,949.8321,0.012099821,1233.0209,964.8264,0.073312454,884.00934,669.72833,0.101560675,1233.8365,952.7905,0.043545287,1231.4724,936.1624,0.08932711,1247.8806,950.80615,0.008627572,1228.823,984.2796,0.008616405
labeled-data,GX010337-sin-distor-correcto,img2531.png,1225.477,973.8324,0.36426747,835.9487,1051.58,0.12195557,839.6773,1061.429,0.0385608,841.75385,1061.7506,0.08667582,848.1246,1065.1127,0.037816297,862.6681,1049.5587,0.020234246,841.0823,1088.7191,0.020835662,835.128,1050.3771,0.32311213,843.0691,1051.3573,0.46893376,860.69885,1036.2946,0.21281007,845.282,1046.1759,0.15266365,857.9773,1031.5629,0.08767774,871.92914,1019.03296,0.055324107
labeled-data,GX010337-sin-distor-correcto,img4590.png,1223.2737,974.952,0.4581959,1224.5277,951.9962,0.16163778,1232.3168,948.49426,0.07344463,1238.594,947.1839,0.07922031,841.876,1070.4856,0.027929112,849.0168,1073.3373,0.022152355,847.0969,1077.0767,0.034438223,828.40985,1053.8829,0.08258648,835.65137,1054.4199,0.08250618,849.54816,1075.4319,0.26043397,838.86255,1059.8075,0.289282,838.7389,1070.6334,0.04915149,853.6828,1081.4888,0.038291022
labeled-data,GX010337-sin-distor-correcto,img3715.png,1223.8365,965.4899,0.09553422,842.821,1078.5533,0.013234828,888.04083,409.2874,0.013636848,1237.3126,952.2535,0.029819457,930.7786,74.803764,0.014818647,1242.6304,952.3742,0.0051156357,946.7996,82.19967,0.0076529454,1223.1532,961.1892,0.04130341,951.1807,70.840965,0.041201465,947.55237,61.770542,0.067384206,1232.6125,935.58484,0.016367335,1236.0508,954.7007,0.0076846606,965.8313,104.11114,0.0049233735
labeled-data,GX010337-sin-distor-correcto,img4226.png,1224.5891,969.0531,0.22727005,1223.7703,949.5865,0.10269814,1219.5841,955.46747,0.010859888,1239.9547,948.9307,0.03076486,1235.8385,964.8078,0.012386199,1236.2096,936.7108,0.00852937,1243.6956,949.5891,0.016708737,1233.9266,963.9677,0.04672289,1228.5266,946.8881,0.02727373,1236.8777,951.6521,0.036061995,1233.9926,935.32764,0.03956072,1243.9963,950.8231,0.010109391,852.4815,1073.431,0.009546408
labeled-data,GX010337-sin-distor-correcto,img1555.png,1226.1442,957.766,0.08559641,821.793,1055.1387,0.08290478,828.9429,1056.4541,0.09990042,835.21985,1059.3956,0.17173359,842.2549,1071.8193,0.14761087,844.0192,1076.5032,0.061171237,844.06055,1077.4769,0.05213729,1236.1129,961.9215,0.08166542,830.1093,1051.1246,0.069142886,843.2938,1073.4802,0.2051285,832.16516,1052.6128,0.29834044,837.47186,1072.6321,0.0486831,851.53467,1076.6523,0.047947507
labeled-data,GX010337-sin-distor-correcto,img0800.png,841.7294,377.68045,0.87413317,844.7375,328.53656,0.7834231,861.5046,327.12787,0.8487078,873.3367,315.49902,0.81516635,877.211,328.67065,0.58168393,877.9104,336.19217,0.18068904,876.7552,344.76062,0.17458542,852.60315,255.39256,1.0,864.0043,255.71002,1.0,886.7651,240.21617,0.9831988,874.1332,222.45084,0.5534644,882.26605,323.30762,0.10278772,901.622,314.8951,0.08485148
labeled-data,GX010337-sin-distor-correcto,img3773.png,1223.588,962.862,0.19199786,1223.5623,944.6739,0.022787385,1226.6187,949.51746,0.016721368,1235.09,947.76764,0.049798865,1233.5577,963.3388,0.012348507,1240.8486,950.37067,0.009421293,1243.069,949.11835,0.008524926,1223.4104,959.2395,0.051298276,1224.439,949.5955,0.043436587,1240.2201,945.8783,0.0375052,1230.8711,935.13086,0.08768866,861.8295,1056.0303,0.007926116,864.34796,1052.9282,0.007886171
labeled-data,GX010337-sin-distor-correcto,img3981.png,1224.6234,965.6074,0.20079237,1226.6041,942.8567,0.019765459,838.29425,1068.9418,0.02037186,877.5831,883.2642,0.059075277,882.7572,882.88434,0.038754106,883.2397,888.974,0.010379263,1243.5261,948.9125,0.010021446,1234.0238,963.9543,0.06261648,843.8268,1069.2236,0.041944776,923.19226,78.1586,0.054120243,1233.3169,937.3928,0.030880624,1247.8783,950.7022,0.00839099,1230.7267,974.6114,0.0072775166
labeled-data,GX010337-sin-distor-correcto,img3503.png,1223.8271,964.6778,0.20488653,832.883,1069.4854,0.046286438,836.6182,1074.0306,0.018092746,1236.3026,951.13806,0.05076262,848.407,1082.3776,0.01564996,850.1276,1080.9976,0.012029925,855.0029,1084.543,0.011980049,1233.3463,964.3683,0.06967105,841.07355,1078.1476,0.05765689,846.8141,1079.5813,0.019296026,1232.6395,938.82587,0.026994023,834.9119,1073.868,0.017468814,866.1618,1049.412,0.014092357
labeled-data,GX010337-sin-distor-correcto,img4408.png,835.5126,1073.6284,0.08418179,835.50073,1076.7047,0.12762636,833.57166,1066.8944,0.15227418,835.85364,1071.0919,0.19126923,843.7688,1074.9381,0.1543536,838.91565,1073.7596,0.052247375,842.6075,1086.4398,0.03140462,827.2389,1058.4208,0.15251139,832.4402,1061.0647,0.26041067,842.12115,1076.01,0.67789036,833.2166,1061.465,0.35756648,830.38763,1070.6165,0.039316114,838.802,1084.6501,0.030248584
