scorer,,,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350,DLC_Resnet50_red-seguimiento-a-mariarumNov17shuffle1_snapshot_best-1350
labeled-data,GX010405-sin-distor-correcto,img1855.png,939.111,990.72876,0.22055258,937.701,920.7206,0.4255622,950.6575,921.2957,0.30115852,962.79474,915.82916,0.42341897,969.4081,924.43365,0.20588703,968.8895,930.0876,0.060546223,968.70404,936.12933,0.052222997,945.4064,853.50085,0.66802603,959.44464,852.2057,0.6297299,983.583,828.06555,0.5549998,965.7419,798.56134,0.6676378,979.6858,827.79376,0.12735204,993.04083,822.3863,0.04786874
labeled-data,GX010405-sin-distor-correcto,img3755.png,1236.4738,80.71333,0.15488568,974.4644,868.1568,0.16092998,964.7499,1007.81885,0.14078283,972.5826,998.153,0.12925327,979.11395,999.7463,0.15526912,980.79126,1002.4687,0.030979736,987.9006,986.16034,0.035955116,974.10846,868.8952,0.28587592,981.7775,870.4028,0.18786068,1008.408,846.70123,0.1639645,996.3005,820.8472,0.32132816,998.7449,857.29346,0.07121219,987.2174,980.22174,0.059538495
labeled-data,GX010405-sin-distor-correcto,img3885.png,954.49133,1013.2219,0.4581511,963.303,867.9728,0.2288638,960.63666,1002.22,0.23074295,967.02686,993.06104,0.21905759,970.26624,1000.7326,0.17812304,973.557,1003.0333,0.05697632,972.66016,1010.0965,0.0543706,963.59644,869.5476,0.37223977,974.10297,871.1134,0.33323628,997.06116,833.3527,0.17226397,988.1432,800.48236,0.25644854,970.08887,989.2565,0.067670636,1015.4108,754.6291,0.034448966
labeled-data,GX010405-sin-distor-correcto,img1531.png,1202.3763,635.17596,0.1395034,938.2375,855.4556,0.26217014,953.53656,854.0643,0.27444023,971.0654,833.5158,0.22481121,974.11536,854.4749,0.20926085,975.98175,859.7753,0.092609815,974.97186,866.57025,0.075387515,938.33716,856.1332,0.37252536,952.4697,853.54114,0.42436254,975.50397,835.17346,0.37250653,960.28186,774.3417,0.23198067,973.7896,768.57263,0.09698218,985.65137,769.4897,0.06047016
labeled-data,GX010405-sin-distor-correcto,img3954.png,949.9505,1013.5971,0.6161124,993.97614,187.58484,0.18787014,967.9568,868.9038,0.14312364,974.15717,866.3159,0.15646993,967.1627,1000.0699,0.09487196,967.9005,1001.24536,0.03110184,977.37085,996.4849,0.027348384,957.95,868.6932,0.49364343,967.63965,869.4881,0.37688252,993.1728,842.8446,0.37704918,984.17596,827.5755,0.5279515,983.22925,922.2956,0.08088052,992.8786,835.5656,0.045588396
labeled-data,GX010405-sin-distor-correcto,img4001.png,942.91003,1016.9364,0.4204562,941.9862,945.44354,0.14896637,954.8049,946.34485,0.18212369,956.0236,1002.5212,0.12232817,970.9565,955.3955,0.09701847,971.65765,959.03625,0.036754087,974.6861,969.7565,0.030303732,950.1545,875.6481,0.46471918,959.15173,875.4225,0.3921212,989.28314,851.43585,0.2930349,977.0029,834.9395,0.30355495,971.2129,928.64795,0.10498375,992.86707,840.7881,0.05130292
labeled-data,GX010405-sin-distor-correcto,img3717.png,1199.5525,639.8304,0.093904056,971.5166,863.687,0.18952632,981.8622,865.6402,0.09253665,991.03546,938.7998,0.1590145,1016.3958,756.2209,0.058072567,997.2036,872.1849,0.027017225,992.3078,956.78876,0.025956139,972.47754,863.4121,0.13185303,999.6867,757.1988,0.123908795,1009.4497,838.23596,0.124103546,999.39233,811.1642,0.31543383,992.879,932.52026,0.046259817,1017.0591,806.29376,0.038361523
labeled-data,GX010405-sin-distor-correcto,img3174.png,968.03876,726.4022,0.15395015,961.32776,849.1019,0.24808253,966.98895,924.0807,0.2644371,980.2636,919.9244,0.40012205,980.1859,929.1181,0.24251372,980.43365,934.5993,0.10062747,978.1315,942.9933,0.0507306,960.804,850.1538,0.7570406,972.4566,849.3116,0.7284086,991.4275,825.8223,0.6098548,978.6516,802.93286,0.5228155,980.1346,899.7002,0.067417584,1003.2001,815.88354,0.03791292
labeled-data,GX010405-sin-distor-correcto,img4228.png,927.4813,1023.9671,0.46863943,937.7238,880.22864,0.19348794,938.26776,993.0624,0.1675034,945.3401,966.783,0.29607627,947.1515,994.0584,0.1326182,947.7742,996.81744,0.06576309,947.74646,1001.3162,0.06619572,938.50616,880.7945,0.40232792,948.1074,881.5895,0.3003008,972.4113,855.1987,0.3297428,958.977,829.91284,0.46924782,954.4832,945.581,0.10579309,982.0947,783.06104,0.036685154
labeled-data,GX010405-sin-distor-correcto,img4320.png,931.35596,1013.0229,0.29529,941.29767,872.6172,0.1697195,953.46954,871.6281,0.27305707,960.50616,935.78705,0.30715168,969.7792,872.22253,0.17960693,961.45154,955.27203,0.050722603,958.40607,960.8186,0.051413562,940.81323,873.11896,0.65682614,953.8657,870.97406,0.528426,979.5385,846.02295,0.62899023,963.4647,817.12305,0.5166406,961.7317,933.62085,0.10933784,986.272,833.73474,0.04280051
labeled-data,GX010405-sin-distor-correcto,img2040.png,1212.9497,380.85825,0.08726204,945.78784,916.40375,0.28160408,956.32886,918.00903,0.15759166,971.06714,920.9894,0.27643374,985.94995,837.49817,0.18504724,988.32367,843.7488,0.094699934,987.0977,852.51166,0.08600219,952.18787,844.7338,0.70835006,964.1304,843.2472,0.7830627,988.16864,822.5033,0.9355683,974.22974,794.1426,0.6125061,974.844,903.7224,0.11030531,1000.63025,739.3587,0.047931157
labeled-data,GX010405-sin-distor-correcto,img0739.png,995.0748,66.3943,0.07698605,987.0229,52.208447,0.13076264,990.91205,57.27056,0.15774465,996.8353,54.05343,0.2660465,997.56415,61.095055,0.113341466,996.8826,65.97248,0.038670357,991.54315,71.22707,0.031890932,984.8597,22.692202,0.3079137,990.4617,21.892033,0.17204264,1000.66125,36.340607,0.16014624,993.1342,22.238861,0.1832423,1003.8017,7.9763985,0.035059016,988.36285,36.05001,0.04361372
